ROUTE_ID,ROUTE_NAME,ID_RUTA,TIME,LONGITUD,DISTANCE,RUTA_ACT,RUTA_ANT,CLASE,ORI_DES,SITUACION,FRECUENCIA,FLOTA,CAPACIDAD,HEADWAY,TDR,MODE,CORREDOR,DEMANDA1,DEMANDA2,DEMANDA3,F_CORREDOR
1277,Route 34,34,142.92,43.91,0.0,C102,187_2,Complementarias,Destino: Francisco Villa,Operando*,6.67,37.0,536.0,10.0,143.15,1,14.0,0.0,0.0,0.0,0.0
1278,Route 60,60,65.69,21.26,0.0,C111-V3 IMSS 39,176A Chulavista_2,Complementarias,Destino: El �lamo,Operando,3.0,15.0,240.0,20.0,66.83,1,,0.0,0.0,0.0,0.0
1280,Route 549,549,43.89,17.59,0.0,T13A-6 Aeropuerto Nva. Central,Aeropuerto - Central Nueva_2,Complementaria de troncal,Destino: Nva. Central Camionera,Operando,1.0,0.0,80.0,60.0,52.42,15,4.0,0.0,0.0,0.0,0.0
1281,Route 460,460,67.98,27.8,0.0,T13A-5 Agaves,Agaves - Antigua Central de Autobuses_1,Complementaria de troncal,Origen: Agaves,Operando,3.16,19.0,256.0,19.0,82.72,15,4.0,0.0,0.0,0.0,0.0
1282,Route 563,563,72.82,28.93,0.0,C112 Centro,,Complementarias,Destino: Centro Metropolitano,Operando,3.0,0.0,240.0,20.0,87.3,1,4.0,0.0,0.0,0.0,0.0
1283,Route 642,642,86.06,35.43,0.0,T13A Alameda,177 Alameda_2,Troncal,Destino: Centro Metropolitano,Operando,2.4,16.0,222.0,25.0,103.36,9,4.0,0.0,0.0,0.0,0.0
1284,Route 644,644,99.0,38.38,0.0,T13A Azucena,177 Alameda_2,Troncal,Destino: Centro Metropolitano,Operando,2.4,16.0,222.0,25.0,115.55,9,4.0,0.0,0.0,0.0,0.0
1285,Route 646,646,84.26,37.61,0.0,T13A-C04 Arvento,Arvento - Antigua Central de Autobuse_2,Complementaria de troncal,Destino: Guadalajara Centro,Operando,1.0,0.0,80.0,60.0,111.05,15,4.0,0.0,0.0,0.0,0.0
1286,Route 648,648,67.68,27.75,0.0,T13A-5 Agaves -Tren Ligero,Agaves - Tren Ligero Periferico Sur_2,Complementaria de troncal,Destino: Estaci�n�Tren Ligero Perif�rico Sur,Operando,2.0,0.0,160.0,30.0,82.43,15,4.0,0.0,0.0,0.0,0.0
1287,Route 650,650,68.38,25.29,0.0,T13A-6 Zapote-Antigua Central,Zapote - Aeropueto - Antigua Central_2,Complementaria de troncal,Destino: Ant. Central Camionera,Operando,1.0,0.0,80.0,60.0,79.29,15,4.0,0.0,0.0,0.0,0.0
